MMSI,IMO,船名,船长,船宽,载重吨,总吨,吃水
413980048," ""null"""," ""null"""," ""64"""," ""12"""," ""null"""," ""null"""," ""null"""
413982229," ""0"""," ""null"""," ""49"""," ""11"""," ""null"""," ""null"""," ""null"""
413991354," ""null"""," ""null"""," ""49"""," ""13"""," ""null"""," ""null"""," ""null"""
413993925," ""null"""," ""null"""," ""55"""," ""13"""," ""null"""," ""null"""," ""null"""
413998679," ""null"""," ""null"""," ""67"""," ""13"""," ""null"""," ""null"""," ""null"""
413998958," ""null"""," ""null"""," ""63"""," ""13"""," ""null"""," ""null"""," ""null"""
413999127," ""null"""," ""null"""," ""57"""," ""11"""," ""null"""," ""null"""," ""null"""
412460950," ""0"""," ""荟通333"""," ""null"""," ""null"""," """""," ""499.0"""," ""null"""
413508570," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413509270," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413762518," ""0"""," ""null"""," ""0"""," ""13"""," ""null"""," ""null"""," ""null"""
413772562," ""0"""," ""穗东方339"""," ""0"""," ""0"""," """""," ""987"""," ""null"""
413787656," ""545285472"""," ""null"""," ""62"""," ""13"""," ""null"""," ""null"""," ""null"""
413900399," ""null"""," ""穗海韵382"""," ""50"""," ""11"""," """""," ""766"""," ""null"""
413900725," ""0"""," ""南燃油28"""," ""74"""," ""13"""," ""2005"""," ""1203"""," ""2"""
413901221," ""null"""," ""null"""," ""98"""," ""20"""," ""null"""," ""null"""," ""null"""
413901743," ""null"""," ""null"""," ""72"""," ""19"""," ""null"""," ""null"""," ""null"""
413903587," ""0"""," ""null"""," ""50"""," ""11"""," ""null"""," ""null"""," ""3"""
413903769," ""null"""," ""null"""," ""64"""," ""13"""," ""null"""," ""null"""," ""null"""
413903792," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413905091," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413905124," ""0"""," ""null"""," ""43"""," ""9"""," ""null"""," ""null"""," ""null"""
413905833," ""null"""," ""null"""," ""84"""," ""19"""," ""null"""," ""null"""," ""null"""
413906676," ""null"""," ""null"""," ""65"""," ""17"""," ""null"""," ""null"""," ""null"""
413971217," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413972005," ""null"""," ""null"""," ""50"""," ""11"""," ""null"""," ""null"""," ""null"""
413974309," ""null"""," ""null"""," ""49"""," ""13"""," ""null"""," ""null"""," ""0"""
413985829," ""null"""," ""null"""," ""42"""," ""9"""," ""null"""," ""null"""," ""null"""
412467660," ""0"""," ""华昌海5号"""," ""50"""," ""16"""," ""1800"""," ""1983"""," ""5"""
412475110," ""null"""," ""null"""," ""50"""," ""14"""," ""null"""," ""null"""," ""null"""
413442930," ""0"""," ""null"""," ""65"""," ""12"""," ""null"""," ""null"""," ""null"""
413477450," ""null"""," ""null"""," ""66"""," ""13"""," ""null"""," ""null"""," ""null"""
413481820," ""null"""," ""null"""," ""67"""," ""13"""," ""null"""," ""null"""," ""null"""
413487330," ""null"""," ""null"""," ""84"""," ""17"""," ""null"""," ""null"""," ""null"""
413507010," ""null"""," ""null"""," ""49"""," ""13"""," ""null"""," ""null"""," ""null"""
413900667," ""0"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""2.9000001"""
413901256," ""0"""," ""null"""," ""45"""," ""9"""," ""null"""," ""null"""," ""1.5"""
413902858," ""0"""," """""," ""51"""," ""10"""," ""781"""," ""531"""," ""null"""
413902937," ""0"""," ""null"""," ""49"""," ""11"""," ""null"""," ""null"""," ""null"""
413903358," ""0"""," ""null"""," ""57"""," ""12"""," ""null"""," ""null"""," ""null"""
413903423," ""0"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413903694," ""null"""," ""null"""," ""62"""," ""13"""," ""null"""," ""null"""," ""null"""
413904586," ""null"""," ""null"""," ""70"""," ""16"""," ""null"""," ""null"""," ""null"""
413905957," ""null"""," ""null"""," ""67"""," ""16"""," ""null"""," ""null"""," ""null"""
413906321," ""null"""," ""null"""," ""60"""," ""18"""," ""null"""," ""null"""," ""null"""
413906346," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413906912," ""12"""," ""null"""," ""60"""," ""16"""," ""null"""," ""null"""," ""2.5"""
413906981," ""null"""," ""null"""," ""82"""," ""17"""," ""null"""," ""null"""," ""null"""
413906988," ""null"""," ""null"""," ""68"""," ""14"""," ""null"""," ""null"""," ""null"""
413907142," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413951574," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413970114," ""0"""," ""null"""," ""50"""," ""15"""," ""null"""," ""null"""," ""null"""
413972795," ""null"""," ""null"""," ""49"""," ""13"""," ""null"""," ""null"""," ""null"""
413972948," ""null"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413972961," ""null"""," ""null"""," ""47"""," ""9"""," ""null"""," ""null"""," ""null"""
413974648," ""null"""," ""null"""," ""49"""," ""11"""," ""null"""," ""null"""," ""null"""
413975068," ""null"""," ""null"""," ""49"""," ""9"""," ""null"""," ""null"""," ""null"""
413982153," ""null"""," ""null"""," ""99"""," ""20"""," ""null"""," ""null"""," ""null"""
413982469," ""null"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413985139," ""0"""," ""null"""," ""39"""," ""8"""," ""null"""," ""null"""," ""null"""
413988781," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413991015," ""0"""," ""null"""," ""49"""," ""14"""," ""null"""," ""null"""," ""null"""
413995764," ""null"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413996515," ""0"""," ""null"""," ""49"""," ""11"""," ""null"""," ""null"""," ""0"""
413997707," ""null"""," ""null"""," ""49"""," ""14"""," ""null"""," ""null"""," ""null"""
413998165," ""null"""," ""null"""," ""70"""," ""16"""," ""null"""," ""null"""," ""null"""
413999094," ""null"""," ""null"""," ""56"""," ""14"""," ""null"""," ""null"""," ""null"""
413468260," ""0"""," ""null"""," ""50"""," ""16"""," ""null"""," ""null"""," ""null"""
413505250," ""null"""," ""null"""," ""52"""," ""8"""," ""null"""," ""null"""," ""null"""
413507960," ""0"""," ""null"""," ""68"""," ""15"""," ""null"""," ""null"""," ""null"""
413510150," ""0"""," ""null"""," ""72"""," ""14"""," ""null"""," ""null"""," ""null"""
413522120," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413788262," ""0"""," ""null"""," ""1022"""," ""126"""," ""null"""," ""null"""," ""null"""
413852302," ""null"""," ""null"""," ""59"""," ""12"""," ""null"""," ""null"""," ""null"""
413854482," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413900255," ""null"""," ""null"""," ""64"""," ""12"""," ""null"""," ""null"""," ""null"""
413902235," ""null"""," ""null"""," ""51"""," ""13"""," ""null"""," ""null"""," ""null"""
413902278," ""null"""," ""null"""," ""53"""," ""11"""," ""null"""," ""null"""," ""null"""
413902575," ""0"""," ""null"""," ""70"""," ""15"""," ""null"""," ""null"""," ""null"""
413903722," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413904302," ""0"""," ""null"""," ""54"""," ""10"""," ""null"""," ""null"""," ""null"""
413906595," ""0"""," ""null"""," ""60"""," ""18"""," ""null"""," ""null"""," ""0"""
413906598," ""0"""," ""null"""," ""74"""," ""16"""," ""null"""," ""null"""," ""null"""
413907043," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413972773," ""0"""," ""null"""," ""50"""," ""11"""," ""null"""," ""null"""," ""null"""
413972774," ""0"""," ""null"""," ""39"""," ""8"""," ""null"""," ""null"""," ""null"""
